name:ID,aircraft,:LABEL
407,A129“猫鼬”,A129“猫鼬”
408,AH-2A“石茶隼”,AH-2A“石茶隼”
409,ASN-105,ASN-105
410,苏-35/苏-37“侧卫-E”  全天候防空战斗机,苏-35/苏-37“侧卫-E”  全天候防空战斗机
411,米-24/-25/-35“雌鹿” 攻击/突击直升机,米-24/-25/-35“雌鹿” 攻击/突击直升机
412,米格-29“支点”战斗机,米格-29“支点”战斗机
413,米-8多用途直升机,米-8多用途直升机
414,沃多霍迪L-39/L-139/L-59/L-159高级喷气教练机和轻型攻击机,沃多霍迪L-39/L-139/L-59/L-159高级喷气教练机和轻型攻击机
415,米-28“浩劫”,米-28“浩劫”
416,SA341/342“小羚羊”,SA341/342“小羚羊”
417,长虹-1,长虹-1
418,歼-7系列战斗机,歼-7系列战斗机
419,歼-6系列战斗机,歼-6系列战斗机
420,空警200型早期预警机,空警200型早期预警机
421,初教-6,初教-6
422,初教-5,初教-5
423,歼-5战斗机,歼-5战斗机
424,翼龙无人机,翼龙无人机
425,长空-1无人机,长空-1无人机
426,教练-11（K-8）,教练-11（K-8）
427,歼教-7型,歼教-7型
428,ZDK-03型预警机,ZDK-03型预警机
429,歼-8系列战斗机,歼-8系列战斗机
430,安-30,安-30
431,S-70 黑鹰 ,S-70 黑鹰 
432,直-9反舰型,直-9反舰型
433,L15“猎鹰”,L15“猎鹰”
434,JL9“山鹰”教练机,JL9“山鹰”教练机
435,Q-5J强击教练机,Q-5J强击教练机
436,轰运教7,轰运教7
